City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,beichengqu,40.4394,113.1536,19.15,19.15,1,2.81,CN,1687788701
321,palembang,-2.9167,104.7458,28.05,28.05,75,0.0,ID,1687788274
322,salinopolis,-0.6136,-47.3561,29.32,29.32,2,3.02,BR,1687788877
323,koubia,11.5833,-11.9,28.96,28.96,100,1.34,GN,1687788878
324,praia da vitoria,38.7333,-27.0667,23.75,23.14,20,3.08,PT,1687788879
325,kapa'a,22.0752,-159.319,26.18,21.38,20,8.23,US,1687788880
326,ponta delgada,37.7333,-25.6667,23.4,23.4,75,3.09,PT,1687788723
327,jaisalmer,26.9147,70.9181,36.51,36.51,49,7.3,IN,1687788881
328,iskateley,67.6803,53.1512,12.3,12.3,24,6.62,RU,1687788883
329,par,50.3539,-4.7109,21.28,18.56,100,5.94,GB,1687788884
330,yanacancha,-10.2411,-76.6456,7.11,7.11,10,1.88,PE,1687788885
331,jayapura,-2.5333,140.7,24.66,24.66,100,5.71,ID,1687788886
332,kayangel,8.0823,134.7173,28.66,28.66,8,2.23,PW,1687788886
333,tatarbunary,45.8373,29.6142,25.84,25.84,72,6.13,UA,1687788887
334,broken hill,-31.95,141.4333,11.51,11.51,100,3.56,AU,1687788834
335,talnakh,69.4865,88.3972,15.67,15.67,93,3.7,RU,1687788886
336,mocimboa,-11.3167,40.35,25.61,25.61,0,5.43,MZ,1687788890
337,mar del plata,-38.0023,-57.5575,15.61,9.01,100,5.66,AR,1687788890
338,briviesca,42.5499,-3.3232,24.08,24.08,60,4.91,ES,1687788891
339,bu'aale,1.0833,42.5833,29.61,29.61,88,6.6,SO,1687788892
340,howrah,22.5892,88.3103,27.0,27.0,75,3.09,IN,1687788893
341,solleftea,63.1667,17.2667,22.92,22.92,50,4.76,SE,1687788894
342,saldanha,-33.0117,17.9442,16.72,16.72,88,6.0,ZA,1687788894
343,hays,30.0502,-98.0336,29.59,26.2,0,1.79,US,1687788895
344,fereydun kenar,36.6864,52.5225,26.0,26.0,0,3.77,IR,1687788896
345,tolanaro,-25.0319,46.9987,19.2,19.2,0,3.38,MG,1687788897
346,ercis,39.0287,43.3586,25.44,25.44,0,4.1,TR,1687788898
347,shijiang,27.0819,110.7933,24.29,24.29,0,0.5,CN,1687788898
348,revda,56.801,59.9303,12.21,12.21,100,3.42,RU,1687788899
349,san patricio,28.017,-97.5169,30.4,28.8,12,6.14,US,1687788900
350,cockburn town,21.4612,-71.1419,28.39,28.39,17,6.49,TC,1687788901
351,camana,-16.6228,-72.7111,18.87,18.87,6,2.0,PE,1687788902
352,newton,42.337,-71.2092,25.09,21.09,100,2.06,US,1687788902
353,acapulco de juarez,16.8634,-99.8901,27.9,27.9,75,5.66,MX,1687788903
354,valverde del camino,37.5751,-6.7543,33.91,33.91,0,4.97,ES,1687788904
355,namibe,-15.1961,12.1522,19.59,19.59,8,6.93,AO,1687788905
356,happy valley-goose bay,53.3168,-60.3315,19.17,19.17,20,6.17,CA,1687788906
357,brokopondo,4.75,-55.1667,27.85,27.85,65,2.53,SR,1687788906
358,saint-pierre,-21.3393,55.4781,21.82,18.43,75,2.06,RE,1687788907
359,ad dabbah,18.05,30.95,41.85,41.85,2,6.1,SD,1687788909
360,oshawa,43.9001,-78.8496,22.33,20.68,100,4.63,CA,1687788910
361,songling,31.1933,120.7176,24.92,24.92,97,1.61,CN,1687788911
362,dickinson,29.4608,-95.0513,31.12,28.06,75,4.12,US,1687788911
363,camacupa,-12.0167,17.4833,26.75,26.75,8,0.87,AO,1687788912
364,el granada,37.5027,-122.4694,14.05,10.66,100,5.66,US,1687788913
365,laboulaye,-34.1266,-63.3912,14.46,14.46,9,7.25,AR,1687788914
366,anna regina,7.2644,-58.5077,29.07,29.07,90,1.86,GY,1687788915
367,maitum,6.0392,124.4986,26.1,26.1,100,1.41,PH,1687788916
368,robore,-18.3333,-59.75,23.05,23.05,0,3.09,BO,1687788916
369,tofol,5.3248,163.0078,27.05,27.05,100,7.64,FM,1687788917
370,vorgashor,67.5833,63.95,14.79,14.79,97,3.4,RU,1687788918
371,mao,39.8885,4.2658,29.31,29.31,20,4.12,ES,1687788680
372,vadso,70.0744,29.7487,12.49,11.09,75,3.6,NO,1687788920
373,alofi,-19.0595,-169.9187,18.94,18.94,75,0.51,NU,1687788829
374,kisangani,0.5167,25.2,26.81,26.81,100,0.67,CD,1687788921
375,yacimiento rio turbio,-51.5732,-72.3508,-4.34,-4.34,75,2.57,AR,1687788922
376,beyneu,45.3167,55.2,28.83,28.83,0,5.15,KZ,1687788923
377,moranbah,-22.0016,148.0466,19.48,19.48,67,2.5,AU,1687788924
378,crucecita,-28.95,-58.9833,26.39,26.39,5,6.19,AR,1687788925
379,rokiskis,55.9667,25.5833,18.09,18.09,80,2.54,LT,1687788786
380,afif,23.9065,42.9172,40.04,40.04,4,3.85,SA,1687788926
381,tete,-16.1564,33.5867,27.05,27.05,20,4.63,MZ,1687788756
382,bardai,11.65,7.2333,31.94,31.94,72,2.72,NG,1687788928
383,el porvenir,13.7617,-87.3458,24.63,24.13,84,1.08,HN,1687788928
384,sitka,57.0531,-135.33,12.94,12.94,100,0.0,US,1687788929
385,bridgewater,44.3835,-64.5155,17.28,13.79,100,10.29,CA,1687788930
386,bac lieu,9.285,105.7244,28.29,28.29,67,4.69,VN,1687788931
387,vikulovo,56.8167,70.6107,14.22,14.22,100,4.92,RU,1687788932
